user_id,budget,climate,interests,accessibility
synthetic-0091,1400,cold,relaxation|culture|food,false
synthetic-0092,1300,mild,history|beach|culture|nature,true
synthetic-0093,2600,warm,nature|beach,false
synthetic-0094,2200,warm,nightlife|nature|history,true
synthetic-0095,1200,mild,history|culture|nature|relaxation,false
synthetic-0096,2000,cold,culture|adventure,true
synthetic-0097,1400,mild,adventure|history|food,true
synthetic-0098,2400,warm,nature|adventure|history|food,false
synthetic-0099,1900,warm,history|nightlife,true
synthetic-0100,3500,mild,relaxation|beach|nature,true
synthetic-0101,1300,cold,history|nightlife|beach|culture,false
synthetic-0102,2800,cold,nature|history,true
synthetic-0103,1300,warm,adventure|food|relaxation,false
synthetic-0104,1300,cold,culture|adventure|relaxation|history,true
synthetic-0105,2000,warm,adventure|beach,false
synthetic-0106,2900,warm,culture|nightlife|history,true
synthetic-0107,1900,cold,beach|nature|food|relaxation,true
synthetic-0108,3200,mild,adventure|nightlife,false
synthetic-0109,3300,mild,relaxation|food|adventure,true
synthetic-0110,2200,mild,adventure|food|history|culture,false
synthetic-0111,2700,warm,nature|food,false
synthetic-0112,3400,warm,history|nightlife|food,false
synthetic-0113,2600,mild,history|nightlife|beach|nature,false
synthetic-0114,1800,mild,culture|history,true
synthetic-0115,2600,warm,beach|food|nature,false
synthetic-0116,1400,cold,history|adventure|culture|nightlife,true
synthetic-0117,2800,mild,nature|nightlife,false
synthetic-0118,2800,mild,nature|history|nightlife,true
synthetic-0119,2400,warm,nightlife|culture|adventure|beach,true
synthetic-0120,3300,mild,food|adventure,false
synthetic-0121,2500,mild,history|nightlife|culture,false
synthetic-0122,2200,mild,nightlife|food|nature|relaxation,false
synthetic-0123,3400,warm,culture|beach,false
synthetic-0124,2400,mild,history|nature|food,true
synthetic-0125,2000,warm,nightlife|adventure|nature|food,true
synthetic-0126,1600,warm,history|nightlife,false
synthetic-0127,1800,mild,relaxation|history|nature,false
synthetic-0128,2900,cold,food|relaxation|nightlife|adventure,true
synthetic-0129,3500,mild,culture|food,false
synthetic-0130,2700,warm,nature|nightlife|beach,true
synthetic-0131,2100,mild,nature|adventure|relaxation|beach,false
synthetic-0132,3200,warm,history|adventure,false
synthetic-0133,2400,warm,beach|history|nightlife,true
synthetic-0134,2700,cold,nature|food|culture|history,true
synthetic-0135,2600,mild,beach|nature,true
synthetic-0136,1700,mild,adventure|culture|food,true
synthetic-0137,3000,warm,nightlife|culture|nature|beach,true
synthetic-0138,2500,cold,relaxation|adventure,true
synthetic-0139,1300,mild,relaxation|nature|beach,false
synthetic-0140,2800,cold,nightlife|culture|beach|history,true
synthetic-0141,1900,mild,culture|nature,false
synthetic-0142,1200,warm,beach|adventure|nature,true
synthetic-0143,2700,warm,relaxation|nightlife|adventure|history,true
synthetic-0144,2800,mild,relaxation|beach,false
synthetic-0145,1900,warm,adventure|relaxation|food,true
synthetic-0146,1400,cold,culture|relaxation|nightlife|adventure,true
synthetic-0147,1600,warm,food|relaxation,true
synthetic-0148,2000,cold,history|culture|nightlife,false
synthetic-0149,2800,cold,culture|food|relaxation|nature,true
synthetic-0150,1900,cold,relaxation|nature,true
synthetic-0151,2600,mild,food|history|nature,false
synthetic-0152,2900,warm,adventure|beach|history|culture,true
synthetic-0153,3200,mild,relaxation|nightlife,true
synthetic-0154,3300,cold,food|culture|adventure,false
synthetic-0155,2300,warm,culture|nature|beach|adventure,false
synthetic-0156,2200,cold,food|nightlife,false
synthetic-0157,1800,warm,nightlife|beach|adventure,false
synthetic-0158,2100,warm,culture|beach|adventure|relaxation,true
synthetic-0159,2000,mild,beach|culture,true
synthetic-0160,1900,mild,beach|history|culture,false
synthetic-0161,1300,warm,food|history|culture|adventure,true
synthetic-0162,1300,cold,nature|adventure,true
synthetic-0163,3400,mild,nature|adventure|relaxation,true
synthetic-0164,1700,cold,culture|beach|nature|relaxation,false
synthetic-0165,3300,cold,food|nature,false
synthetic-0166,1700,warm,nightlife|nature|adventure,true
synthetic-0167,2500,warm,culture|nature|food|relaxation,true
synthetic-0168,2100,mild,relaxation|nature,true
synthetic-0169,1800,mild,food|nightlife|adventure,false
synthetic-0170,1200,cold,adventure|nature|relaxation|beach,false
synthetic-0171,3200,mild,adventure|relaxation,true
synthetic-0172,1400,warm,relaxation|food|adventure,false
synthetic-0173,2200,mild,adventure|nightlife|food|history,false
synthetic-0174,1300,mild,nightlife|history,false
synthetic-0175,3500,cold,history|nature|food,true
synthetic-0176,2700,cold,food|relaxation|culture|beach,false
synthetic-0177,2000,mild,relaxation|beach,false
synthetic-0178,1200,cold,nature|adventure|culture,false
synthetic-0179,2200,mild,nature|history|culture|beach,false
synthetic-0180,1800,mild,culture|history,true
synthetic-0181,3200,warm,adventure|beach|food,false
synthetic-0182,1400,mild,nightlife|culture|adventure|food,true
synthetic-0183,2500,mild,adventure|food,false
synthetic-0184,2500,mild,nature|culture|relaxation,true
synthetic-0185,2000,cold,culture|relaxation|nature|nightlife,false
synthetic-0186,3500,mild,nightlife|nature,true
synthetic-0187,1900,warm,beach|culture|relaxation,true
synthetic-0188,1400,mild,history|beach|culture|nature,false
synthetic-0189,2800,warm,adventure|history,true
synthetic-0190,1200,mild,beach|food|relaxation,true
synthetic-0191,1900,warm,beach|nature|food|relaxation,true
synthetic-0192,3000,warm,adventure|history,true
synthetic-0193,2600,cold,nightlife|history|culture,false
synthetic-0194,3400,cold,food|beach|nightlife|history,false
synthetic-0195,2300,mild,adventure|food,true
synthetic-0196,1300,cold,food|culture|nature,true
synthetic-0197,3300,mild,food|relaxation|nature|adventure,true
synthetic-0198,1800,warm,history|food,false
synthetic-0199,1500,mild,beach|food|adventure,true
synthetic-0200,3400,mild,culture|nightlife|beach|adventure,false
synthetic-0201,2100,mild,history|nightlife,true
synthetic-0202,2300,mild,history|nightlife|beach,false
synthetic-0203,2400,cold,food|relaxation|nature|culture,false
synthetic-0204,2500,warm,adventure|food,false
synthetic-0205,2400,cold,culture|relaxation|food,false
synthetic-0206,1200,warm,beach|relaxation|culture|nightlife,true
synthetic-0207,3000,cold,relaxation|food,false
synthetic-0208,2100,warm,nature|culture|beach,true
synthetic-0209,1800,mild,culture|food|adventure|nightlife,true
synthetic-0210,2200,warm,food|adventure,false
synthetic-0211,3400,warm,culture|nightlife|history,true
synthetic-0212,1700,cold,relaxation|history|culture|adventure,true
synthetic-0213,2800,warm,food|adventure,false
synthetic-0214,1900,cold,nightlife|food|culture,true
synthetic-0215,3300,mild,food|history|nightlife|beach,true
synthetic-0216,2600,cold,relaxation|history,false
synthetic-0217,1900,mild,relaxation|nature|history,false
synthetic-0218,1700,warm,nightlife|adventure|history|relaxation,true
synthetic-0219,1900,mild,beach|adventure,false
synthetic-0220,2400,warm,nature|relaxation|adventure,true
synthetic-0221,1400,mild,nature|beach|adventure|relaxation,true
synthetic-0222,1600,warm,food|nightlife,false
synthetic-0223,2400,cold,culture|food|history,true
synthetic-0224,3500,cold,food|relaxation|beach|history,true
synthetic-0225,2700,mild,adventure|culture,true
synthetic-0226,3100,mild,adventure|food|nature,true
synthetic-0227,1600,mild,nightlife|history|nature|adventure,false
synthetic-0228,2000,cold,adventure|history,true
synthetic-0229,1800,warm,nightlife|nature|food,false
synthetic-0230,2400,warm,nature|nightlife|beach|relaxation,false
synthetic-0231,2800,warm,culture|relaxation,false
synthetic-0232,3000,cold,beach|history|relaxation,true
synthetic-0233,3500,mild,history|beach|nightlife|adventure,false
synthetic-0234,3000,warm,relaxation|nature,false
synthetic-0235,2600,warm,nightlife|relaxation|food,true
synthetic-0236,2100,cold,food|nature|history|relaxation,false
synthetic-0237,1300,warm,food|nightlife,true
synthetic-0238,2500,mild,history|beach|nightlife,false
synthetic-0239,3100,cold,food|culture|adventure|relaxation,true
synthetic-0240,1200,cold,food|beach,false
synthetic-0241,2300,cold,history|food|beach,true
synthetic-0242,1600,warm,relaxation|history|nature|beach,false
synthetic-0243,1600,warm,beach|culture,true
synthetic-0244,1400,cold,nature|adventure|food,true
synthetic-0245,1300,cold,history|adventure|nature|food,false
synthetic-0246,2800,cold,beach|history,false
synthetic-0247,1300,warm,adventure|culture|food,true
synthetic-0248,1300,warm,relaxation|culture|beach|nightlife,true
synthetic-0249,2500,warm,adventure|culture,false
synthetic-0250,1400,mild,nature|history|beach,true
synthetic-0251,2400,mild,beach|nightlife|history|food,false
synthetic-0252,3200,mild,culture|nightlife,true
synthetic-0253,1900,cold,adventure|food|nature,true
synthetic-0254,3400,warm,culture|nature|nightlife|relaxation,false
synthetic-0255,2800,mild,relaxation|nightlife,false
synthetic-0256,1200,warm,adventure|food|history,false
synthetic-0257,1700,cold,adventure|relaxation|nightlife|culture,false
synthetic-0258,2200,cold,adventure|beach,true
synthetic-0259,3400,cold,relaxation|beach|nightlife,false
synthetic-0260,1200,mild,beach|relaxation|history|food,true
synthetic-0261,1800,mild,history|relaxation,true
synthetic-0262,1200,warm,nature|culture|food,true
synthetic-0263,1200,warm,nature|beach|culture|food,true
synthetic-0264,1400,cold,food|nightlife,true
synthetic-0265,2300,warm,culture|relaxation|history,true
synthetic-0266,1800,warm,relaxation|food|culture|nightlife,true
synthetic-0267,3200,warm,food|relaxation,false
synthetic-0268,1500,cold,beach|food|culture,true
synthetic-0269,2000,warm,history|nature|relaxation|adventure,false
synthetic-0270,1300,cold,history|nature,false
synthetic-0271,2800,mild,nightlife|relaxation|history,false
synthetic-0272,2500,cold,food|relaxation|adventure|beach,true
synthetic-0273,3400,warm,nightlife|adventure,true
synthetic-0274,1700,mild,culture|history|nature,true
synthetic-0275,2300,mild,adventure|nature|food|nightlife,true
synthetic-0276,1700,mild,beach|nightlife,false
synthetic-0277,2100,warm,history|beach|culture,true
synthetic-0278,2700,cold,beach|culture|food|nightlife,true
synthetic-0279,1500,mild,nightlife|nature,false
synthetic-0280,1200,mild,culture|adventure|nightlife,true
synthetic-0281,2800,warm,history|nature|adventure|beach,false
synthetic-0282,1600,cold,adventure|beach,true
synthetic-0283,2800,warm,nightlife|history|nature,false
synthetic-0284,3400,mild,nightlife|culture|adventure|beach,true
synthetic-0285,2600,cold,nature|beach,true
synthetic-0286,3400,cold,adventure|nature|relaxation,true
synthetic-0287,3100,cold,nature|culture|nightlife|beach,false
synthetic-0288,2200,warm,nature|culture,false
synthetic-0289,1500,warm,culture|beach|nightlife,false
synthetic-0290,2500,mild,nature|culture|beach|nightlife,true
synthetic-0291,1500,mild,culture|nightlife,true
synthetic-0292,1200,mild,relaxation|adventure|food,false
synthetic-0293,2600,warm,adventure|history|nightlife|nature,true
synthetic-0294,3500,mild,history|beach,true
synthetic-0295,3400,cold,adventure|relaxation|beach,false
synthetic-0296,1900,cold,adventure|nightlife|relaxation|history,true
synthetic-0297,2500,mild,culture|adventure,false
synthetic-0298,2400,cold,culture|adventure|beach,true
synthetic-0299,2600,warm,history|relaxation|adventure|nightlife,false
synthetic-0300,2200,warm,nature|nightlife,false
synthetic-0301,2000,cold,beach|food|relaxation,true
synthetic-0302,2300,warm,nature|nightlife|culture|history,false
synthetic-0303,2700,cold,adventure|nightlife,true
synthetic-0304,2500,cold,nightlife|history|nature,false
synthetic-0305,2800,warm,adventure|nightlife|culture|beach,false
synthetic-0306,2000,mild,food|nature,false
synthetic-0307,2500,mild,food|beach|relaxation,false
synthetic-0308,3500,mild,history|food|culture|nature,true
synthetic-0309,1800,warm,relaxation|adventure,true
synthetic-0310,1800,mild,culture|relaxation|nightlife,true
synthetic-0311,2600,mild,nature|beach|nightlife|adventure,true
synthetic-0312,1900,mild,beach|nature,false
synthetic-0313,1700,mild,history|adventure|nightlife,true
synthetic-0314,2200,mild,history|nature|culture|relaxation,false
synthetic-0315,3200,warm,relaxation|history,false
synthetic-0316,1300,warm,nature|beach|adventure,false
synthetic-0317,1200,cold,nature|history|beach|relaxation,true
synthetic-0318,3200,mild,adventure|food,false
synthetic-0319,1900,warm,culture|history|beach,false
synthetic-0320,2400,cold,nightlife|relaxation|culture|beach,true
synthetic-0321,2900,cold,culture|nightlife,false
synthetic-0322,1800,cold,adventure|beach|nightlife,true
synthetic-0323,1500,mild,beach|nightlife|food|history,false
synthetic-0324,1600,mild,adventure|relaxation,false
synthetic-0325,1600,cold,food|adventure|relaxation,false
synthetic-0326,3100,cold,adventure|beach|culture|history,true
synthetic-0327,2200,mild,nature|relaxation,false
synthetic-0328,2300,mild,history|relaxation|adventure,false
synthetic-0329,3200,cold,culture|beach|nightlife|nature,true
synthetic-0330,1300,cold,food|history,false
synthetic-0331,2700,warm,culture|history|adventure,true
synthetic-0332,2200,warm,adventure|nightlife|beach|culture,false
synthetic-0333,2800,cold,nightlife|adventure,true
synthetic-0334,2500,mild,history|adventure|nature,true
synthetic-0335,2400,mild,history|nature|relaxation|adventure,false
synthetic-0336,3200,mild,nightlife|culture,true
synthetic-0337,3400,mild,nightlife|culture|nature,true
synthetic-0338,3500,cold,culture|relaxation|food|adventure,false
synthetic-0339,2100,warm,food|adventure,true
synthetic-0340,3100,cold,food|culture|adventure,true
synthetic-0341,3300,warm,relaxation|history|culture|beach,true
synthetic-0342,3200,mild,food|nightlife,true
synthetic-0343,1300,mild,culture|nightlife|beach,true
synthetic-0344,2900,cold,food|nature|culture|relaxation,false
synthetic-0345,2500,warm,history|culture,false
synthetic-0346,3200,cold,food|adventure|history,true
synthetic-0347,1500,mild,beach|history|relaxation|food,false
synthetic-0348,1200,cold,beach|food,false
synthetic-0349,2900,warm,nature|adventure|relaxation,true
synthetic-0350,2500,warm,beach|culture|relaxation|food,true
synthetic-0351,1400,warm,culture|relaxation,true
synthetic-0352,2000,cold,nature|adventure|food,true
synthetic-0353,1300,mild,beach|nightlife|relaxation|culture,true
synthetic-0354,3200,cold,culture|nature,false
synthetic-0355,1300,cold,beach|nightlife|nature,true
synthetic-0356,1400,mild,food|beach|relaxation|history,false
synthetic-0357,3100,warm,history|nightlife,false
synthetic-0358,3000,cold,food|nature|relaxation,false
synthetic-0359,1500,mild,beach|nightlife|culture|relaxation,true
synthetic-0360,2400,mild,relaxation|adventure,false
synthetic-0361,1300,cold,nightlife|nature|relaxation,false
synthetic-0362,2100,cold,food|relaxation|culture|history,false
synthetic-0363,2400,cold,adventure|beach,false
synthetic-0364,2100,cold,adventure|relaxation|beach,true
synthetic-0365,1700,cold,nightlife|nature|relaxation|adventure,true
synthetic-0366,1600,cold,history|relaxation,true
synthetic-0367,3300,mild,history|relaxation|beach,false
synthetic-0368,2400,warm,culture|history|relaxation|adventure,true
synthetic-0369,1300,cold,history|beach,false
synthetic-0370,2000,cold,beach|nightlife|culture,true
synthetic-0371,2900,mild,relaxation|adventure|history|food,true
synthetic-0372,3000,cold,adventure|beach,false
synthetic-0373,3000,warm,nightlife|adventure|history,true
synthetic-0374,3400,mild,adventure|culture|food|relaxation,false
synthetic-0375,2800,warm,nightlife|adventure,true
synthetic-0376,1500,mild,food|adventure|nature,false
synthetic-0377,1200,mild,culture|beach|nature|history,false
synthetic-0378,1300,warm,food|beach,false
synthetic-0379,2500,warm,adventure|nature|relaxation,false
synthetic-0380,1800,warm,nature|beach|food|relaxation,false
synthetic-0381,1300,warm,culture|food,false
synthetic-0382,3100,cold,beach|adventure|food,false
synthetic-0383,2200,cold,culture|nightlife|food|nature,true
synthetic-0384,2800,mild,culture|nightlife,true
synthetic-0385,2300,warm,beach|relaxation|culture,true
synthetic-0386,1300,cold,nature|food|beach|nightlife,true
synthetic-0387,2800,cold,food|nature,false
synthetic-0388,2200,warm,food|beach|culture,true
synthetic-0389,3200,warm,history|beach|relaxation|adventure,false
synthetic-0390,2000,mild,nightlife|nature,true
synthetic-0391,1700,mild,nightlife|adventure|relaxation,true
synthetic-0392,3400,warm,nature|nightlife|food|adventure,true
synthetic-0393,1900,warm,nature|relaxation,false
synthetic-0394,1500,mild,nature|relaxation|adventure,true
synthetic-0395,1900,mild,culture|adventure|nature|nightlife,true
synthetic-0396,2200,warm,nightlife|culture,true
synthetic-0397,2900,warm,nature|nightlife|adventure,false
synthetic-0398,1900,warm,nature|beach|adventure|nightlife,true
synthetic-0399,2100,mild,history|beach,true
synthetic-0400,2200,mild,history|adventure|food,false
synthetic-0401,3200,cold,culture|beach|history|food,true
synthetic-0402,2100,warm,beach|relaxation,false
synthetic-0403,2000,warm,adventure|nature|beach,true
synthetic-0404,1700,warm,culture|adventure|nature|relaxation,false
synthetic-0405,1200,mild,nature|nightlife,false
synthetic-0406,2800,mild,nature|adventure|food,true
synthetic-0407,1800,mild,nightlife|adventure|food|relaxation,true
synthetic-0408,1700,cold,nature|relaxation,true
synthetic-0409,1400,warm,nature|culture|history,false
synthetic-0410,3100,cold,history|culture|relaxation|nightlife,true
synthetic-0411,1200,warm,history|culture,false
synthetic-0412,2200,mild,food|history|nature,false
synthetic-0413,1600,cold,culture|food|adventure|nightlife,false
synthetic-0414,3000,mild,adventure|culture,true
synthetic-0415,3000,cold,nature|nightlife|beach,true
synthetic-0416,1400,warm,nightlife|history|adventure|relaxation,false
synthetic-0417,2200,cold,adventure|relaxation,false
synthetic-0418,3500,mild,food|nature|beach,false
synthetic-0419,1200,warm,food|history|relaxation|culture,true
synthetic-0420,1700,warm,adventure|history,true
synthetic-0421,1200,warm,history|nature|beach,true
synthetic-0422,3200,cold,adventure|nature|food|history,false
synthetic-0423,2600,warm,adventure|nightlife,false
synthetic-0424,1300,mild,culture|nightlife|beach,true
synthetic-0425,2000,warm,beach|adventure|history|nightlife,true
synthetic-0426,1600,cold,culture|adventure,true
synthetic-0427,3000,mild,adventure|culture|nightlife,false
synthetic-0428,3400,mild,nature|relaxation|food|adventure,true
synthetic-0429,2300,mild,relaxation|food,false
synthetic-0430,3400,mild,adventure|relaxation|nature,false
synthetic-0431,2200,cold,relaxation|beach|history|food,true
synthetic-0432,2500,cold,nightlife|culture,true
synthetic-0433,1700,warm,nightlife|food|history,false
synthetic-0434,1900,warm,relaxation|culture|history|food,false
synthetic-0435,2600,cold,relaxation|beach,true
synthetic-0436,3100,mild,food|beach|nightlife,false
synthetic-0437,1500,cold,food|history|beach|nature,true
synthetic-0438,1300,mild,relaxation|culture,true
synthetic-0439,1700,warm,history|nature|nightlife,true
synthetic-0440,2900,warm,history|food|adventure|beach,false
synthetic-0441,1600,mild,culture|history,false
synthetic-0442,3500,warm,history|nature|culture,false
synthetic-0443,1900,cold,beach|history|nightlife|relaxation,false
synthetic-0444,3400,mild,adventure|history,false
synthetic-0445,2700,mild,history|beach|adventure,true
synthetic-0446,2800,cold,adventure|nature|culture|nightlife,false
synthetic-0447,2300,warm,relaxation|food,true
synthetic-0448,2700,mild,nightlife|history|nature,false
synthetic-0449,1700,cold,adventure|nature|food|nightlife,true
synthetic-0450,3300,warm,nightlife|adventure,false
synthetic-0451,1500,cold,beach|nature|nightlife,true
synthetic-0452,1600,cold,nature|adventure|beach|nightlife,true
synthetic-0453,2800,warm,history|relaxation,false
synthetic-0454,3400,cold,history|relaxation|nightlife,true
synthetic-0455,2500,cold,relaxation|beach|food|nightlife,true
synthetic-0456,3000,warm,beach|adventure,false
synthetic-0457,3100,warm,history|relaxation|beach,false
synthetic-0458,3500,mild,beach|nightlife|adventure|nature,false
synthetic-0459,2800,cold,nightlife|adventure,false
synthetic-0460,2700,mild,nightlife|food|beach,false
synthetic-0461,1600,mild,history|culture|beach|nature,false
synthetic-0462,2200,mild,adventure|food,true
synthetic-0463,1200,warm,nightlife|culture|adventure,true
synthetic-0464,2900,mild,history|beach|adventure|nature,false
synthetic-0465,2600,mild,relaxation|adventure,true
synthetic-0466,3300,warm,nightlife|adventure|food,true
synthetic-0467,2400,cold,culture|adventure|nature|history,true
synthetic-0468,2700,mild,adventure|beach,false
synthetic-0469,3500,warm,nightlife|beach|history,true
synthetic-0470,2100,cold,nightlife|nature|relaxation|food,true
synthetic-0471,2100,cold,culture|nightlife,false
synthetic-0472,2800,mild,relaxation|nightlife|culture,true
synthetic-0473,3200,cold,adventure|beach|culture|food,true
synthetic-0474,3200,cold,nightlife|history,true
synthetic-0475,2100,cold,relaxation|food|beach,true
synthetic-0476,1200,cold,history|adventure|food|beach,true
synthetic-0477,2700,cold,adventure|culture,false
synthetic-0478,2500,cold,nature|history|culture,true
synthetic-0479,1500,warm,nature|culture|history|nightlife,true
synthetic-0480,2800,mild,culture|beach,false
synthetic-0481,3200,warm,relaxation|beach|food,false
synthetic-0482,2000,warm,nature|nightlife|culture|beach,true
synthetic-0483,1500,cold,history|nightlife,true
synthetic-0484,3100,mild,nightlife|culture|adventure,true
synthetic-0485,1300,mild,food|culture|adventure|history,true
synthetic-0486,1900,warm,adventure|culture,true
synthetic-0487,2600,mild,nature|beach|food,false
synthetic-0488,3300,mild,history|adventure|food|culture,true
synthetic-0489,2400,cold,relaxation|nature,false
synthetic-0490,1400,warm,food|relaxation|culture,true
synthetic-0491,2100,mild,nightlife|adventure|culture|food,false
synthetic-0492,2900,mild,culture|nature,false
synthetic-0493,1500,mild,relaxation|nightlife|food,false
synthetic-0494,2100,mild,adventure|beach|culture|relaxation,true
synthetic-0495,2000,cold,relaxation|food,true
synthetic-0496,1900,cold,nightlife|relaxation|culture,true
synthetic-0497,1600,cold,culture|beach|nature|history,false
synthetic-0498,1900,warm,beach|relaxation,false
synthetic-0499,2400,mild,nightlife|culture|beach,true
